iter	Accuracy	MultiClass
0	0.2832618026	2.052467193
1	0.3819742489	2.013706344
2	0.4549356223	1.965647503
3	0.4463519313	1.930101443
4	0.5107296137	1.900496775
5	0.5064377682	1.870883387
6	0.5236051502	1.853052783
7	0.5450643777	1.833404183
8	0.5665236052	1.814419197
9	0.5751072961	1.797399127
10	0.5965665236	1.770238602
11	0.6008583691	1.754474759
12	0.6266094421	1.732954889
13	0.6180257511	1.705404501
14	0.6309012876	1.68754424
15	0.6394849785	1.663534278
16	0.6566523605	1.634962616
17	0.6394849785	1.622838037
18	0.6995708155	1.600080804
19	0.7167381974	1.586013752
20	0.7296137339	1.566457635
21	0.7210300429	1.546503425
22	0.7467811159	1.526614547
23	0.7467811159	1.508634393
24	0.7467811159	1.495713091
25	0.7639484979	1.481062107
26	0.7725321888	1.463852887
27	0.7768240343	1.447045911
28	0.7811158798	1.436749625
29	0.7811158798	1.428884295
30	0.7811158798	1.416973689
31	0.7896995708	1.401976142
32	0.7939914163	1.391567789
33	0.7982832618	1.380482853
34	0.8111587983	1.366025062
35	0.8154506438	1.357334539
36	0.8283261803	1.339863018
37	0.8197424893	1.330653963
38	0.8283261803	1.311116976
39	0.8326180258	1.299825524
40	0.8326180258	1.284959079
41	0.8454935622	1.272877116
42	0.8454935622	1.25839381
43	0.8497854077	1.246852052
44	0.8497854077	1.236678839
45	0.8540772532	1.221336363
46	0.8540772532	1.209070036
47	0.8540772532	1.196320384
48	0.8540772532	1.18457007
49	0.8626609442	1.175337754
50	0.8626609442	1.158543967
51	0.8626609442	1.149291437
52	0.8626609442	1.131877895
53	0.8669527897	1.120122604
54	0.8669527897	1.10895521
55	0.8755364807	1.100015675
56	0.8755364807	1.086890602
57	0.8755364807	1.076789338
58	0.8884120172	1.066043449
59	0.8884120172	1.05715633
60	0.8884120172	1.049358047
61	0.8884120172	1.04300012
62	0.8927038627	1.033171031
63	0.8841201717	1.018743285
64	0.8927038627	1.009451716
65	0.8927038627	0.9996485813
66	0.8927038627	0.9879951734
67	0.8927038627	0.982982403
68	0.8927038627	0.9732275387
69	0.8884120172	0.9637252027
70	0.8884120172	0.9585619456
71	0.8927038627	0.9485987576
72	0.8969957082	0.9360922768
73	0.9012875536	0.9271305578
74	0.9055793991	0.9201644072
75	0.9012875536	0.9139499536
76	0.9098712446	0.9076969747
77	0.9098712446	0.9035540224
78	0.9184549356	0.8983121574
79	0.9184549356	0.8879895835
80	0.9141630901	0.882310694
81	0.9184549356	0.8739231403
82	0.9184549356	0.8619930804
83	0.9184549356	0.8566023478
84	0.9184549356	0.8483558546
85	0.9227467811	0.8403533562
86	0.9227467811	0.828241854
87	0.9227467811	0.8213608246
88	0.9270386266	0.813406981
89	0.9270386266	0.8009960759
90	0.9313304721	0.7944627504
91	0.9313304721	0.787180872
92	0.9313304721	0.7761261727
93	0.9356223176	0.7676680888
94	0.9356223176	0.7628335706
95	0.9399141631	0.755545598
96	0.9356223176	0.7484406565
97	0.9356223176	0.7394000983
98	0.9356223176	0.7336645784
99	0.9356223176	0.7245856131
100	0.9399141631	0.7170463983
101	0.9442060086	0.7119750043
102	0.9442060086	0.7049079899
103	0.9399141631	0.6971547821
104	0.9442060086	0.6856100969
105	0.9399141631	0.6794165089
106	0.9442060086	0.6733639691
107	0.9484978541	0.6647298376
108	0.9484978541	0.6611786808
109	0.9442060086	0.6559218952
110	0.9442060086	0.6534936133
111	0.9442060086	0.6481438345
112	0.9442060086	0.6424413706
113	0.9484978541	0.6391547794
114	0.9527896996	0.6352023937
115	0.9527896996	0.6291507411
116	0.9527896996	0.6234633253
117	0.9527896996	0.6197806742
118	0.9570815451	0.6155523902
119	0.9570815451	0.6114279744
120	0.9570815451	0.6050603362
121	0.9570815451	0.6020531329
122	0.9570815451	0.5955416893
123	0.9570815451	0.5922153694
124	0.9570815451	0.5844555144
125	0.9570815451	0.5819939941
126	0.9570815451	0.5799653562
127	0.9613733906	0.5744451497
128	0.9613733906	0.5681605575
129	0.9570815451	0.5642883012
130	0.9656652361	0.5591036377
131	0.9613733906	0.5542865516
132	0.9699570815	0.5501986543
133	0.9699570815	0.5466188542
134	0.9699570815	0.5441165307
135	0.974248927	0.5418951661
136	0.974248927	0.5396009033
137	0.974248927	0.5365932631
138	0.982832618	0.53290183
139	0.9871244635	0.5298339815
140	0.9871244635	0.5280122551
141	0.991416309	0.5245845088
142	0.9871244635	0.5213557532
143	0.991416309	0.5189406972
144	0.991416309	0.5155218533
145	0.991416309	0.5127327601
146	0.9871244635	0.5074244067
147	0.9871244635	0.5047363281
148	0.991416309	0.5008711517
149	0.991416309	0.4985283435
150	0.991416309	0.4946889464
151	0.991416309	0.4922674795
152	0.991416309	0.4891201446
153	0.991416309	0.4856063751
154	0.9957081545	0.483377108
155	0.9957081545	0.4808562057
156	0.9957081545	0.4773029817
157	0.9957081545	0.4746785658
158	0.9957081545	0.4717236966
159	0.9957081545	0.4669078231
160	0.9957081545	0.4648010464
161	0.9957081545	0.4601916926
162	0.9957081545	0.457934883
163	0.9957081545	0.4545754486
164	0.9957081545	0.4521021952
165	0.9957081545	0.447486663
166	0.9957081545	0.4444255815
167	0.9957081545	0.4424216948
168	0.9957081545	0.4376092073
169	0.9957081545	0.4349161044
170	0.9957081545	0.4317530545
171	0.9957081545	0.4298534519
172	0.9957081545	0.4276394805
173	1	0.4237728753
174	1	0.4219396711
175	1	0.4196902951
176	1	0.4160649439
177	1	0.4135425055
178	1	0.4121606832
179	1	0.410637387
180	1	0.4089658051
181	1	0.4077131136
182	1	0.4064438676
183	1	0.4045773935
184	1	0.4019859665
185	1	0.4003367429
186	1	0.3983548449
187	1	0.3960777489
188	1	0.393408911
189	1	0.3884831827
190	1	0.3864827531
191	1	0.3837814253
192	1	0.3808043776
193	1	0.3794202441
194	1	0.3781526945
195	1	0.3761958724
196	1	0.3735608161
197	1	0.3685584682
198	1	0.3649975388
199	1	0.363727997
200	1	0.3625057733
201	1	0.3602295302
202	1	0.3559984404
203	1	0.3538446935
204	1	0.3525282532
205	1	0.3513536821
206	1	0.3486780505
207	1	0.3460328938
208	1	0.3426279078
209	1	0.340992817
210	1	0.3400381903
211	1	0.3389153572
212	1	0.3380890557
213	1	0.3365225526
214	1	0.3353294951
215	1	0.3341423448
216	1	0.332772358
217	1	0.3316654099
218	1	0.3298345959
219	1	0.3291049532
220	1	0.3282338341
221	1	0.3272827229
222	1	0.3261192863
223	1	0.3243814652
224	1	0.3227381336
225	1	0.3217222642
226	1	0.3192699059
227	1	0.3178897792
228	1	0.3163662976
229	1	0.3148487513
230	1	0.3137307361
231	1	0.3127985699
232	1	0.311215796
233	1	0.3097518874
234	1	0.3084297686
235	1	0.3069940378
236	1	0.3054155673
237	1	0.3031070829
238	1	0.3003816864
239	1	0.2985329945
