iter	Passed	Remaining
0	107	32123
1	197	29457
2	288	28539
3	379	28085
4	470	27781
5	561	27521
6	654	27383
7	743	27147
8	841	27193
9	940	27283
10	1036	27243
11	1128	27092
12	1222	26992
13	1312	26811
14	1404	26685
15	1494	26535
16	1587	26427
17	1678	26296
18	1768	26153
19	1858	26025
20	1949	25901
21	2039	25767
22	2130	25657
23	2220	25536
24	2310	25417
25	2401	25313
26	2491	25194
27	2581	25079
28	2673	24983
29	2762	24866
30	2853	24758
31	2944	24656
32	3035	24556
33	3126	24460
34	3218	24368
35	3308	24262
36	3401	24177
37	3491	24076
38	3581	23968
39	3672	23874
40	3762	23767
41	3852	23665
42	3942	23562
43	4033	23466
44	4124	23372
45	4214	23273
46	4304	23172
47	4395	23076
48	4486	22982
49	4578	22890
50	4669	22800
51	4760	22703
52	4851	22608
53	4941	22510
54	5031	22411
55	5122	22319
56	5213	22225
57	5303	22127
58	5393	22029
59	5487	21948
60	5578	21855
61	5668	21761
62	5758	21662
63	5848	21566
64	5938	21468
65	6028	21372
66	6123	21296
67	6215	21204
68	6305	21108
69	6395	21013
70	6486	20920
71	6575	20823
72	6667	20733
73	6758	20639
74	6848	20546
75	6939	20453
76	7030	20359
77	7121	20269
78	7222	20203
79	7312	20109
80	7402	20014
81	7493	19921
82	7582	19824
83	7674	19733
84	7764	19640
85	7855	19547
86	7945	19452
87	8037	19361
88	8127	19269
89	8218	19176
90	8309	19084
91	8399	18990
92	8493	18904
93	8582	18809
94	8678	18726
95	8768	18632
96	8858	18539
97	8949	18446
98	9039	18352
99	9129	18259
100	9220	18166
101	9310	18073
102	9400	17979
103	9490	17886
104	9580	17792
105	9671	17700
106	9761	17607
107	9858	17525
108	9951	17437
109	10041	17344
110	10133	17253
111	10225	17163
112	10316	17073
113	10410	16986
114	10502	16894
115	10594	16804
116	10685	16712
117	10776	16621
118	10866	16528
119	10957	16436
120	11048	16343
121	11139	16253
122	11233	16165
123	11324	16073
124	11414	15980
125	11505	15888
126	11595	15795
127	11693	15713
128	11792	15631
129	11886	15543
130	11976	15451
131	12066	15357
132	12157	15265
133	12247	15172
134	12338	15080
135	12429	14988
136	12521	14897
137	12613	14806
138	12703	14714
139	12793	14621
140	12884	14529
141	12975	14437
142	13065	14344
143	13157	14253
144	13248	14161
145	13337	14067
146	13427	13975
147	13518	13883
148	13609	13792
149	13699	13699
150	13788	13605
151	13878	13513
152	13968	13420
153	14058	13327
154	14149	13236
155	14239	13144
156	14330	13052
157	14420	12959
158	14509	12867
159	14601	12776
160	14691	12684
161	14781	12591
162	14871	12499
163	14961	12407
164	15054	12317
165	15145	12225
166	15235	12133
167	15325	12041
168	15414	11948
169	15505	11856
170	15596	11766
171	15698	11682
172	15788	11590
173	15877	11497
174	15968	11405
175	16058	11314
176	16152	11224
177	16243	11132
178	16333	11040
179	16424	10949
180	16514	10857
181	16607	10767
182	16697	10675
183	16787	10583
184	16878	10491
185	16977	10405
186	17069	10314
187	17160	10222
188	17250	10131
189	17341	10039
190	17431	9947
191	17522	9856
192	17612	9764
193	17703	9673
194	17796	9582
195	17889	9492
196	17984	9403
197	18080	9314
198	18173	9223
199	18265	9132
200	18357	9041
201	18451	8951
202	18543	8860
203	18636	8770
204	18728	8679
205	18821	8588
206	18916	8498
207	19009	8408
208	19104	8318
209	19201	8229
210	19297	8139
211	19394	8050
212	19488	7960
213	19581	7869
214	19672	7777
215	19763	7685
216	19853	7593
217	19943	7501
218	20033	7409
219	20124	7318
220	20215	7226
221	20304	7134
222	20395	7042
223	20488	6951
224	20582	6860
225	20672	6768
226	20767	6678
227	20859	6587
228	20949	6495
229	21040	6403
230	21136	6313
231	21226	6221
232	21316	6129
233	21407	6038
234	21497	5946
235	21589	5854
236	21679	5763
237	21769	5671
238	21860	5579
239	21949	5487
240	22040	5395
241	22132	5304
242	22227	5213
243	22320	5122
244	22410	5030
245	22500	4939
246	22593	4848
247	22685	4756
248	22775	4664
249	22866	4573
250	22956	4481
251	23047	4389
252	23140	4298
253	23233	4207
254	23323	4115
255	23413	4024
256	23503	3932
257	23594	3840
258	23684	3749
259	23776	3657
260	23866	3566
261	23960	3475
262	24051	3383
263	24143	3292
264	24234	3200
265	24324	3109
266	24415	3017
267	24507	2926
268	24601	2835
269	24692	2743
270	24783	2652
271	24873	2560
272	24964	2468
273	25053	2377
274	25144	2285
275	25234	2194
276	25323	2102
277	25413	2011
278	25503	1919
279	25594	1828
280	25685	1736
281	25776	1645
282	25865	1553
283	25955	1462
284	26045	1370
285	26136	1279
286	26228	1188
287	26320	1096
288	26413	1005
289	26502	913
290	26594	822
291	26685	731
292	26776	639
293	26866	548
294	26957	456
295	27046	365
296	27137	274
297	27227	182
298	27317	91
299	27406	0
