iter	Accuracy	MultiClass
0	0.2610294118	2.073097886
1	0.3382352941	2.064843008
2	0.3272058824	2.057013468
3	0.3970588235	2.039137285
4	0.3897058824	2.031507014
5	0.4264705882	2.018446034
6	0.4742647059	2.007019914
7	0.4852941176	1.995598834
8	0.5	1.982568385
9	0.5147058824	1.968163069
10	0.5110294118	1.963662703
11	0.4963235294	1.958738197
12	0.5183823529	1.945999911
13	0.5183823529	1.927491901
14	0.5183823529	1.914191409
15	0.5330882353	1.903863314
16	0.5477941176	1.894667055
17	0.5551470588	1.885976683
18	0.5661764706	1.876515124
19	0.5845588235	1.862186906
20	0.5845588235	1.853984991
21	0.5772058824	1.851148208
22	0.5955882353	1.836959937
23	0.6139705882	1.829183018
24	0.6470588235	1.817605995
25	0.6617647059	1.80843688
26	0.6727941176	1.802621358
27	0.6875	1.792951621
28	0.6911764706	1.782293259
29	0.7058823529	1.770695751
30	0.7132352941	1.766767541
31	0.7095588235	1.759662365
32	0.7095588235	1.757290607
33	0.7022058824	1.750574134
34	0.7242647059	1.740080266
35	0.7132352941	1.736231902
36	0.7132352941	1.730517466
37	0.7169117647	1.725036834
38	0.7169117647	1.714014256
39	0.7610294118	1.704701321
40	0.75	1.691618731
41	0.7279411765	1.688151285
42	0.75	1.678956564
43	0.7389705882	1.667472648
44	0.7352941176	1.657710731
45	0.7536764706	1.649757074
46	0.7610294118	1.639399538
47	0.7610294118	1.63039616
48	0.7683823529	1.621940194
49	0.7536764706	1.619723897
50	0.7573529412	1.612357857
51	0.7610294118	1.607802475
52	0.7830882353	1.600546337
53	0.7830882353	1.593554427
54	0.7830882353	1.589747125
55	0.7794117647	1.58670832
56	0.7794117647	1.582647284
57	0.7941176471	1.5776478
58	0.7867647059	1.570997201
59	0.8014705882	1.561678312
60	0.7977941176	1.555688093
61	0.7977941176	1.552339778
62	0.8051470588	1.547171094
63	0.8051470588	1.540886766
64	0.8088235294	1.533311367
65	0.8088235294	1.529991357
66	0.8088235294	1.526912577
67	0.8125	1.521538181
68	0.8161764706	1.517278868
69	0.8161764706	1.508980973
70	0.8161764706	1.502531138
71	0.8198529412	1.495419864
72	0.8272058824	1.492976031
73	0.8235294118	1.486399151
74	0.8308823529	1.483977493
75	0.8308823529	1.48109973
76	0.8235294118	1.472431945
77	0.8419117647	1.468765862
78	0.8308823529	1.463102175
79	0.8382352941	1.456000552
80	0.8382352941	1.452641665
81	0.8419117647	1.446838955
82	0.8419117647	1.443332519
83	0.8529411765	1.437153382
84	0.8529411765	1.433487045
85	0.8639705882	1.426361935
86	0.8602941176	1.421711337
87	0.8566176471	1.415960282
88	0.8566176471	1.410716805
89	0.8566176471	1.40561611
90	0.8566176471	1.400303455
91	0.8639705882	1.396014222
92	0.8639705882	1.391199053
93	0.8713235294	1.383375625
94	0.8786764706	1.381220843
95	0.8786764706	1.374022906
96	0.8823529412	1.369919928
97	0.8786764706	1.36428473
98	0.875	1.35777525
99	0.8676470588	1.352009711
100	0.8676470588	1.34606528
101	0.8676470588	1.345022124
102	0.8676470588	1.341974423
103	0.8786764706	1.335274315
104	0.8786764706	1.326466101
105	0.8786764706	1.31954909
106	0.8860294118	1.314340646
107	0.8823529412	1.311832382
108	0.8860294118	1.307041262
109	0.8897058824	1.30103244
110	0.8970588235	1.291831153
111	0.8933823529	1.28688882
112	0.8933823529	1.280548369
113	0.8933823529	1.272174089
114	0.8970588235	1.263897004
115	0.9007352941	1.258929539
116	0.9007352941	1.254969167
117	0.9044117647	1.247914447
118	0.9044117647	1.24380414
119	0.9044117647	1.241015123
120	0.9044117647	1.233510641
121	0.9044117647	1.230566381
122	0.9117647059	1.225438705
123	0.9080882353	1.22216854
124	0.9080882353	1.21242513
125	0.9080882353	1.204112033
126	0.9117647059	1.201515839
127	0.9117647059	1.194639126
128	0.9117647059	1.185669841
129	0.9007352941	1.178388355
130	0.9044117647	1.172687485
131	0.9044117647	1.169718861
132	0.9080882353	1.165691277
133	0.9117647059	1.161690227
134	0.9080882353	1.154793609
135	0.9044117647	1.14945067
136	0.9080882353	1.144710809
137	0.9117647059	1.140876124
138	0.9080882353	1.133751061
139	0.9080882353	1.12708033
140	0.9080882353	1.123260013
141	0.9044117647	1.115810848
142	0.9080882353	1.108961565
143	0.9080882353	1.105324525
144	0.9044117647	1.099611064
145	0.9080882353	1.094584303
146	0.9044117647	1.090021788
147	0.9044117647	1.085374626
148	0.9080882353	1.082726619
149	0.9080882353	1.077227608
150	0.9080882353	1.07453059
151	0.9080882353	1.071625047
152	0.9080882353	1.066570198
153	0.9080882353	1.061345995
154	0.9080882353	1.055612298
155	0.9080882353	1.049353073
156	0.9117647059	1.044032177
157	0.9117647059	1.037973846
158	0.9117647059	1.034135563
159	0.9117647059	1.027831454
160	0.9117647059	1.024401393
161	0.9117647059	1.020321226
162	0.9154411765	1.016904217
163	0.9154411765	1.011472326
164	0.9117647059	1.007893689
165	0.9080882353	1.004075277
166	0.9117647059	1.000529102
167	0.9117647059	0.9952540785
168	0.9117647059	0.9914295057
169	0.9044117647	0.9846408613
170	0.9044117647	0.9812926445
171	0.9080882353	0.9749910411
172	0.9080882353	0.9694701181
173	0.9154411765	0.9619968381
174	0.9154411765	0.9573471198
175	0.9191176471	0.9560772511
176	0.9227941176	0.9511269382
177	0.9227941176	0.9473063772
178	0.9191176471	0.9436119083
179	0.9227941176	0.936196541
180	0.9227941176	0.9339306494
181	0.9264705882	0.9316028646
182	0.9264705882	0.9248862838
183	0.9264705882	0.9213650389
184	0.9264705882	0.9150757595
185	0.9264705882	0.9130502172
186	0.9264705882	0.9106186472
187	0.9264705882	0.904453605
188	0.9301470588	0.9022759124
189	0.9338235294	0.8988298677
190	0.9411764706	0.8938598737
191	0.9448529412	0.8871935666
192	0.9448529412	0.8825993454
193	0.9448529412	0.879070659
194	0.9448529412	0.8743810094
195	0.9448529412	0.871526713
196	0.9448529412	0.8662295994
197	0.9448529412	0.8620827871
198	0.9448529412	0.8599043291
199	0.9448529412	0.8583714124
200	0.9522058824	0.8551432349
201	0.9522058824	0.8502748412
202	0.9522058824	0.8482212132
203	0.9522058824	0.8456185567
204	0.9558823529	0.8430749062
205	0.9558823529	0.841029872
206	0.9522058824	0.8375177819
207	0.9558823529	0.8343149994
208	0.9558823529	0.8316427243
209	0.9558823529	0.8304776223
210	0.9595588235	0.827198634
211	0.9558823529	0.8226246767
212	0.9558823529	0.8208753157
213	0.9558823529	0.8172601523
214	0.9558823529	0.8120641351
215	0.9522058824	0.8086435393
216	0.9522058824	0.8057658506
217	0.9558823529	0.8012171266
218	0.9595588235	0.796978717
219	0.9595588235	0.7956174164
220	0.9632352941	0.7932338386
221	0.9595588235	0.7896058033
222	0.9558823529	0.7869884696
223	0.9595588235	0.7823975847
224	0.9595588235	0.7793547046
225	0.9595588235	0.7751073438
226	0.9595588235	0.77292802
227	0.9595588235	0.7682684187
228	0.9595588235	0.767142141
229	0.9595588235	0.7648502484
230	0.9595588235	0.7625706801
231	0.9595588235	0.7606261662
232	0.9595588235	0.757321138
233	0.9595588235	0.7555906086
234	0.9595588235	0.7539601757
