iter	Passed	Remaining
0	223	66882
1	282	42047
2	342	33949
3	400	29617
4	472	27874
5	537	26330
6	594	24877
7	655	23937
8	722	23373
9	784	22742
10	844	22182
11	900	21615
12	965	21305
13	1032	21091
14	1092	20755
15	1152	20458
16	1217	20272
17	1281	20078
18	1344	19886
19	1405	19672
20	1473	19581
21	1539	19458
22	1602	19294
23	1663	19131
24	1727	19007
25	1786	18827
26	1842	18631
27	1899	18455
28	1967	18387
29	2028	18258
30	2085	18096
31	2144	17962
32	2209	17876
33	2269	17752
34	2325	17610
35	2382	17473
36	2444	17378
37	2510	17311
38	2571	17209
39	2636	17137
40	2703	17075
41	2763	16973
42	2825	16889
43	2894	16843
44	2968	16818
45	3035	16758
46	3099	16682
47	3165	16618
48	3240	16601
49	3305	16528
50	3367	16442
51	3427	16346
52	3520	16406
53	3585	16335
54	3652	16268
55	3716	16195
56	3783	16130
57	3844	16039
58	3905	15951
59	3967	15869
60	4034	15807
61	4095	15720
62	4160	15650
63	4220	15563
64	4286	15497
65	4345	15406
66	4404	15318
67	4467	15243
68	4536	15186
69	4595	15098
70	4658	15024
71	4718	14943
72	4788	14890
73	4850	14814
74	4909	14729
75	4973	14657
76	5039	14595
77	5099	14515
78	5164	14446
79	5226	14372
80	5296	14319
81	5356	14240
82	5416	14161
83	5478	14088
84	5541	14016
85	5602	13941
86	5665	13871
87	5730	13805
88	5798	13745
89	5858	13668
90	5917	13590
91	5980	13522
92	6046	13457
93	6106	13382
94	6168	13311
95	6231	13241
96	6295	13175
97	6354	13098
98	6413	13021
99	6475	12950
100	6537	12881
101	6597	12805
102	6662	12743
103	6722	12669
104	6790	12610
105	6857	12550
106	6918	12478
107	6980	12410
108	7050	12355
109	7113	12286
110	7174	12215
111	7234	12143
112	7300	12081
113	7362	12012
114	7421	11938
115	7483	11870
116	7546	11804
117	7607	11733
118	7669	11664
119	7734	11601
120	7802	11542
121	7863	11472
122	7924	11403
123	7986	11334
124	8054	11275
125	8116	11208
126	8179	11142
127	8239	11072
128	8305	11009
129	8366	10940
130	8428	10873
131	8493	10810
132	8558	10747
133	8624	10684
134	8683	10613
135	8742	10542
136	8808	10479
137	8867	10410
138	8925	10337
139	8984	10268
140	9047	10202
141	9104	10130
142	9169	10066
143	9227	9995
144	9291	9932
145	9351	9863
146	9414	9799
147	9475	9731
148	9539	9667
149	9599	9599
150	9660	9532
151	9721	9465
152	9785	9401
153	9847	9335
154	9907	9268
155	9972	9205
156	10037	9142
157	10097	9075
158	10160	9010
159	10221	8943
160	10289	8883
161	10350	8817
162	10411	8750
163	10474	8685
164	10538	8622
165	10598	8555
166	10659	8489
167	10720	8423
168	10782	8357
169	10843	8292
170	10903	8225
171	10967	8161
172	11033	8099
173	11100	8038
174	11172	7980
175	11241	7920
176	11309	7858
177	11376	7797
178	11445	7736
179	11518	7678
180	11580	7613
181	11646	7551
182	11714	7489
183	11777	7425
184	11843	7362
185	11913	7301
186	11976	7237
187	12038	7171
188	12101	7107
189	12174	7048
190	12235	6982
191	12300	6918
192	12363	6854
193	12438	6796
194	12502	6732
195	12566	6667
196	12637	6607
197	12703	6544
198	12771	6482
199	12837	6418
200	12914	6361
201	12986	6300
202	13049	6235
203	13119	6173
204	13192	6113
205	13257	6049
206	13323	5985
207	13395	5925
208	13476	5867
209	13547	5805
210	13619	5744
211	13690	5682
212	13759	5619
213	13832	5558
214	13898	5494
215	13966	5431
216	14036	5368
217	14107	5306
218	14174	5242
219	14250	5181
220	14316	5117
221	14383	5053
222	14463	4994
223	14538	4932
224	14610	4870
225	14677	4805
226	14743	4741
227	14808	4676
228	14877	4612
229	14945	4548
230	15007	4482
231	15073	4418
232	15152	4357
233	15218	4292
234	15280	4226
235	15345	4161
236	15420	4099
237	15487	4034
238	15552	3969
239	15617	3904
240	15684	3839
241	15747	3774
242	15812	3709
243	15875	3643
244	15948	3580
245	16015	3515
246	16078	3450
247	16146	3385
248	16215	3321
249	16279	3255
250	16344	3190
251	16411	3126
252	16488	3063
253	16553	2997
254	16622	2933
255	16684	2867
256	16752	2802
257	16813	2737
258	16880	2672
259	16944	2606
260	17007	2541
261	17069	2475
262	17129	2409
263	17191	2344
264	17254	2278
265	17320	2213
266	17385	2148
267	17451	2083
268	17514	2018
269	17574	1952
270	17635	1887
271	17695	1821
272	17761	1756
273	17821	1691
274	17881	1625
275	17967	1562
276	18036	1497
277	18095	1432
278	18159	1366
279	18222	1301
280	18281	1236
281	18341	1170
282	18405	1105
283	18472	1040
284	18532	975
285	18591	910
286	18654	844
287	18718	779
288	18778	714
289	18836	649
290	18895	584
291	18964	519
292	19024	454
293	19084	389
294	19148	324
295	19214	259
296	19274	194
297	19332	129
298	19394	64
299	19460	0
